,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_max_depth,param_min_child_weight,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0,0.27746214866638186,0.03182277158330035,0.009202051162719726,0.0007484429169378523,1,1,100,"{'max_depth': 1, 'min_child_weight': 1, 'n_estimators': 100}",0.7321120216872651,0.7390938586458909,0.7318898337693263,0.7401800322559294,0.7318311282400358,0.7350213749196894,0.00378537790180573,34
1,0.4302963733673096,0.005036813033427155,0.009202337265014649,0.0004001380824320652,1,1,200,"{'max_depth': 1, 'min_child_weight': 1, 'n_estimators': 200}",0.7664329548710824,0.7770933104592029,0.7714071703944624,0.7759395247150266,0.7676984882345327,0.7717142897348614,0.004263800101157744,31
2,0.9864215850830078,0.014207515013168248,0.012603044509887695,0.0004899792882992587,1,1,500,"{'max_depth': 1, 'min_child_weight': 1, 'n_estimators': 500}",0.7910174105387959,0.8069154199634646,0.7997414319475877,0.8024168941229175,0.7949957773618916,0.7990173867869315,0.005561165020353429,30
3,1.9341075420379639,0.02867060358359222,0.018598508834838868,0.002336965648245321,1,1,1000,"{'max_depth': 1, 'min_child_weight': 1, 'n_estimators': 1000}",0.7982635127619362,0.8147332946100819,0.8072514940701807,0.8081981922058383,0.8020454812269091,0.8060983949749894,0.00562337561939319,27
4,0.2924657821655273,0.04974509048055971,0.008401727676391602,0.0004899987222241536,1,5,100,"{'max_depth': 1, 'min_child_weight': 5, 'n_estimators': 100}",0.7321120216872651,0.7390938586458909,0.7318898337693263,0.7401800322559294,0.7318311282400358,0.7350213749196894,0.00378537790180573,34
5,0.3612813949584961,0.00986921354753995,0.009402227401733399,0.0008002758381271968,1,5,200,"{'max_depth': 1, 'min_child_weight': 5, 'n_estimators': 200}",0.7664329548710824,0.7770933104592029,0.7714071703944624,0.7759395247150266,0.7676984882345327,0.7717142897348614,0.004263800101157744,31
6,0.930008840560913,0.021287654035639682,0.011402559280395509,0.000490018206419483,1,5,500,"{'max_depth': 1, 'min_child_weight': 5, 'n_estimators': 500}",0.7911638065040455,0.8069026515609276,0.7995418573063526,0.8027086906272288,0.7948704659543754,0.7990374943905859,0.005566899460126054,28
7,1.8235762119293213,0.018284557278574528,0.01541132926940918,0.0005798418740940391,1,5,1000,"{'max_depth': 1, 'min_child_weight': 5, 'n_estimators': 1000}",0.7990056021805052,0.8147448450570031,0.8073315306288011,0.8089675607157599,0.8015999948306477,0.8063299066825435,0.005563976271335,26
8,0.2008449077606201,0.00888791540768155,0.008402109146118164,0.000489882107110448,1,10,100,"{'max_depth': 1, 'min_child_weight': 10, 'n_estimators': 100}",0.7321120216872651,0.7390938586458909,0.7318898337693263,0.7401800322559294,0.7318311282400358,0.7350213749196894,0.00378537790180573,34
9,0.38708696365356443,0.015352975998835668,0.008816719055175781,0.00040844455354231067,1,10,200,"{'max_depth': 1, 'min_child_weight': 10, 'n_estimators': 200}",0.766297333570243,0.7768737382418285,0.7714071703944624,0.7759395247150266,0.7676984882345327,0.7716432510312187,0.004242916098988219,33
10,0.930469560623169,0.0156315498276871,0.012402582168579101,0.0013565012772291571,1,10,500,"{'max_depth': 1, 'min_child_weight': 10, 'n_estimators': 500}",0.7918201836680342,0.8063493705480139,0.799379575927636,0.8029300035013559,0.794680062642598,0.7990318392575275,0.00528788815121056,29
